"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",,
"YI","111, Inc.","8.01","$653.17M","2018","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","4.61","$27.63M","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","23.3399","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.9","$59.13M","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",,
"FLWS","1-800 FLOWERS.COM, Inc.","16.95","$1.09B","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.49","$30.37M","2019","Finance","Banks","https://www.nasdaq.com/symbol/bcow",
"FCCY","1st Constitution Bancorp (NJ)","18.38","$158.18M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",,
"SRCE","1st Source Corporation","46.11","$1.19B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",,
"VNET","21Vianet Group, Inc.","9.36","$1.05B","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet"
"TWOU","2U, Inc.","61.68","$3.57B","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"QFIN","360 Finance, Inc.","12.5351","$1.8B","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qfin",
"TPNL","3PEA International, Inc.","7.62","$353.57M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/tpnl",
"JOBS","51job, Inc.","69.14","$4.27B","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"EGHT","8x8 Inc","18.92","$1.81B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",,
"AAON","AAON, Inc.","38.05","$1.98B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
